"Name","Disaster","Begin Date","End Date","Total CPI-Adjusted Cost (Millions of Dollars)","Deaths"
"Hurricane Katrina (August 2005)","Tropical Cyclone",20050825,20050830,195046.1,1833
"Midwest Drought (Spring-Summer 2005)","Drought",20050301,20050831,2374.6,0
"Hurricane Rita (September 2005)","Tropical Cyclone",20050920,20050924,28490.1,119
"Hurricane Wilma (October 2005)","Tropical Cyclone",20051024,20051024,29260.0,35
"Severe Storms and Tornadoes (March 2006)","Severe Storm",20060308,20060313,2059.9,10
"Midwest/Southeast Tornadoes (April 6-8, 2006)","Severe Storm",20060406,20060408,2437.8,10
"Midwest Tornadoes (April 2006)","Severe Storm",20060413,20060416,3683.8,27
"Northeast Flooding (June 2006)","Flooding",20060625,20060628,2297.7,20
"North Central Severe Weather and Tornadoes (August 2006)","Severe Storm",20060823,20060824,1146.2,1
"Midwest/Plains/Southeast Drought (Spring-Summer 2006)","Drought",20060301,20060831,9296.7,0
"Central Severe Weather (October 2006)","Severe Storm",20061002,20061005,1336.1,1
"Numerous Wildfires (2006)","Wildfire",20060101,20061231,2273.8,28
"California Freeze (January 2007)","Freeze",20070111,20070117,2128.0,1
"Spring Freeze (April 2007)","Freeze",20070404,20070410,3107.0,0
"East/South Severe Weather and Flooding (April 2007)","Severe Storm",20070413,20070417,3736.7,9
"Western Wildfires (Summer 2007)","Wildfire",20070601,20070831,4029.7,12
"Western/Eastern Drought/Heat Wave (Summer-Fall 2007)","Drought",20070601,20071130,5378.0,15
"Western, Central and Northeast Severe Weather (January 2008)","Severe Storm",20080104,20080109,1424.2,12
"Southeast Tornadoes and Severe Weather (February 2008)","Severe Storm",20080205,20080206,1756.9,57
"Southeast Tornadoes (March 2008)","Severe Storm",20080314,20080315,1628.6,5
"Southern Severe Weather (April 2008)","Severe Storm",20080409,20080411,1486.7,2
"Midwest Tornadoes and Severe Weather (May 2008)","Severe Storm",20080522,20080527,4301.9,13
"Midwest/Mid-Atlantic Severe Weather (June 2008)","Severe Storm",20080606,20080612,2290.3,18
"Midwest Flooding (Summer 2008)","Flooding",20080401,20080630,14439.8,24
"Hurricane Dolly (July 2008)","Tropical Cyclone",20080723,20080725,1774.2,3
"Hurricane Gustav (September 2008)","Tropical Cyclone",20080831,20080903,8395.8,53
