"Name","Disaster","Begin Date","End Date","Total CPI-Adjusted Cost (Millions of Dollars)","Deaths"
"Ohio Valley Hail Storms (June 2021)","Severe Storm",20210617,20210618,1929.2,0
"Central Severe Storms (June 2021)","Severe Storm",20210624,20210626,1416.0,0
"Tropical Storm Elsa (July 2021)","Tropical Cyclone",20210707,20210709,1358.6,1
"Central Severe Storms (July 2021)","Severe Storm",20210708,20210711,1209.6,0
"North Central Severe Weather (August 2021)","Severe Storm",20210810,20210813,1438.1,2
"Tropical Storm Fred (August 2021)","Tropical Cyclone",20210816,20210818,1430.2,7
"Hurricane Ida (August 2021)","Tropical Cyclone",20210829,20210901,82400.7,96
"Hurricane Nicholas (September 2021)","Tropical Cyclone",20210914,20210918,1137.9,0
"Southeast, Central Tornado Outbreak (December 2021)","Severe Storm",20211210,20211210,4306.5,93
"Midwest Derecho and Tornado Outbreak (December 2021)","Severe Storm",20211215,20211215,1960.2,1
"Western Wildfires (2021)","Wildfire",20210601,20211231,11752.1,8
"Western Drought and Heat Wave (2021)","Drought",20210101,20211231,9864.5,229
"Texas Hail Storms (February 2022)","Severe Storm",20220221,20220222,1088.6,0
"Southern Tornado Outbreak (March 2022)","Severe Storm",20220330,20220330,1344.1,2
"Southeast Tornado Outbreak (April 2022)","Severe Storm",20220404,20220406,1501.9,3
"Southern Severe Weather (April 2022)","Severe Storm",20220411,20220413,2835.5,1
"Southern and Central Severe Weather (May 2022)","Severe Storm",20220501,20220503,1196.1,1
"North Central Hail Storms (May 2022)","Severe Storm",20220509,20220509,2289.6,0
"North Central Severe Weather (May 2022)","Severe Storm",20220511,20220512,2868.3,1
"North Central Hail Storms (May 2022)","Severe Storm",20220519,20220519,2552.8,0
"Central Severe Weather (June 2022)","Severe Storm",20220607,20220608,1987.4,0
"Central Derecho (June 2022)","Severe Storm",20220613,20220613,3322.9,1
"North Central and Eastern Severe Weather (July 2022)","Severe Storm",20220722,20220724,1393.6,1
"Kentucky and Missouri Flooding (July 2022)","Flooding",20220726,20220728,1523.6,42
"Hurricane Fiona (September 2022)","Tropical Cyclone",20220917,20220918,2610.4,25
"Hurricane Ian (September 2022)","Tropical Cyclone",20220928,20220930,116272.0,152
"Hurricane Nicole (November 2022)","Tropical Cyclone",20221110,20221111,1050.6,5
"Western Wildfires (Spring-Fall 2022)","Wildfire",20220401,20221130,3234.4,17
"Central and Eastern Winter Storm and Cold Wave (December 2022)","Winter Storm",20221221,20221226,8698.6,87
"Western/Central Drought and Heat Wave (2022)","Drought",20220101,20221231,22852.0,136
"Northeastern Winter Storm / Cold Wave (February 2023)","Winter Storm",20230202,20230205,1786.1,1
"Southern and Eastern Severe Weather (March 2023)","Severe Storm",20230302,20230303,5993.5,13
"California Flooding (December 2022 - March 2023)","Flooding",20221226,20230319,4635.0,22
"Southern and Eastern Severe Weather (April 2023)","Severe Storm",20230324,20230326,2871.2,23
"Central Tornado Outbreak and Eastern Severe Weather (March 2023)","Severe Storm",20230331,20230401,5740.4,33
"Central and Eastern Severe Weather (April 2023)","Severe Storm",20230404,20230406,2871.5,5
"Fort Lauderdale Flash Flood (April 2023)","Flooding",20230412,20230413,1111.0,0
"Central and Southern Severe Weather (April 2023)","Severe Storm",20230415,20230415,1361.7,0
"Central Severe Weather (April 2023)","Severe Storm",20230419,20230420,3019.2,1
"Southern Severe Weather (April 2023)","Severe Storm",20230425,20230427,1333.3,0
"Central Severe Weather (May 2023)","Severe Storm",20230506,20230508,2158.6,1
"Central and Eastern Tornadoes and Hail Storms (May 2023)","Severe Storm",20230510,20230512,3460.4,1
"Texas Hail Storms (May 2023)","Severe Storm",20230518,20230519,1641.3,0
"Typhoon Mawar (May 2023)","Tropical Cyclone",20230524,20230525,4292.5,2
"Southern Severe Weather (June 2023)","Severe Storm",20230611,20230614,4072.6,0
"Central and Southern Severe Weather (June 2023)","Severe Storm",20230615,20230618,3805.8,5
"Rockies Hail Storms and Central and Eastern Severe Weather (June 2023)","Severe Storm",20230621,20230626,5296.5,8
"Central Severe Weather (June 2023)","Severe Storm",20230628,20230702,1938.4,3
"Northeastern Flooding and North Central Severe Weather (July 2023)","Flooding",20230709,20230715,2187.1,10
"North Central and Southeastern Severe Weather (July 2023)","Severe Storm",20230719,20230721,1850.3,1
